No._Base	ToneName_freemidi	MSB	LSB	PC_0Origin	Category	Bank	PC	No.	ToneName	remove_left1	head_suff
13	#Pipe Org 1	127	1	12	Organ	CM-64	13	013	#"Pipe Org 1	Pipe Org 1	#"
14	#Pipe Org 2	127	1	13	Organ	CM-64	14	014	#"Pipe Org 2	Pipe Org 2	#"
15	#Pipe Org 3	127	1	14	Organ	CM-64	15	015	#"Pipe Org 3	Pipe Org 3	#"
16	#Accordion	127	1	15	Organ	CM-64	16	016	#"Accordion	Accordion	#"
88	#Harmonica	127	1	87	Organ	CM-64	88	088	#"Harmonica	Harmonica	#"
25	Nylon-str.Gt	0	3	24	Guitar	SC-88Pro	25	025	Nylon-str.Gt	ylon-str.Gt	
025+	Ukulele	8	3	24	Guitar	SC-88Pro	25	025+	Ukulele	kulele	
025+	Nylon Gt.o	16	3	24	Guitar	SC-88Pro	25	025+	Nylon Gt.o	ylon Gt.o	
025+	Velo Harmnix	24	3	24	Guitar	SC-88Pro	25	025+	Velo Harmnix	elo Harmnix	
025+	Nylon Gt.2	32	3	24	Guitar	SC-88Pro	25	025+	Nylon Gt.2	ylon Gt.2	
025+	Lequint Gt.	40	3	24	Guitar	SC-88Pro	25	025+	Lequint Gt.	equint Gt.	
26	Steel-str.Gt	0	3	25	Guitar	SC-88Pro	26	026	Steel-str.Gt	teel-str.Gt	
026+	12-str.Gt	8	3	25	Guitar	SC-88Pro	26	026+	12-str.Gt	2-str.Gt	
026+	Nylon+Steel	9	3	25	Guitar	SC-88Pro	26	026+	Nylon+Steel	ylon+Steel	
026+	Mandolin	16	3	25	Guitar	SC-88Pro	26	026+	Mandolin	andolin	
026+	Mandolin 2	17	3	25	Guitar	SC-88Pro	26	026+	Mandolin 2	andolin 2	
026+	MandolinTrem	18	3	25	Guitar	SC-88Pro	26	026+	MandolinTrem	andolinTrem	
026+	Steel Gt.2	32	3	25	Guitar	SC-88Pro	26	026+	Steel Gt.2	teel Gt.2	
27	Jazz Gt.	0	3	26	Guitar	SC-88Pro	27	027	Jazz Gt.	azz Gt.	
027+	Mellow Gt.	1	3	26	Guitar	SC-88Pro	27	027+	Mellow Gt.	ellow Gt.	
027+	Pedal Steel	8	3	26	Guitar	SC-88Pro	27	027+	Pedal Steel	edal Steel	
28	Clean Gt.	0	3	27	Guitar	SC-88Pro	28	028	Clean Gt.	lean Gt.	
028+	Clean Half	1	3	27	Guitar	SC-88Pro	28	028+	Clean Half	lean Half	
028+	Open Hard 1	2	3	27	Guitar	SC-88Pro	28	028+	Open Hard 1	pen Hard 1	
028+	Open Hard 2	3	3	27	Guitar	SC-88Pro	28	028+	Open Hard 2	pen Hard 2	
028+	JC Clean Gt.	4	3	27	Guitar	SC-88Pro	28	028+	JC Clean Gt.	C Clean Gt.	
028+	Chorus Gt.	8	3	27	Guitar	SC-88Pro	28	028+	Chorus Gt.	horus Gt.	
028+	JC Chorus Gt	9	3	27	Guitar	SC-88Pro	28	028+	JC Chorus Gt	C Chorus Gt	
028+	TC FrontPick	16	3	27	Guitar	SC-88Pro	28	028+	TC FrontPick	C FrontPick	
028+	TC Rear Pick	17	3	27	Guitar	SC-88Pro	28	028+	TC Rear Pick	C Rear Pick	
028+	TC Clean ff	18	3	27	Guitar	SC-88Pro	28	028+	TC Clean ff	C Clean ff	
028+	TC Clean 2:	19	3	27	Guitar	SC-88Pro	28	028+	TC Clean 2:	C Clean 2:	
29	Muted Gt.	0	3	28	Guitar	SC-88Pro	29	029	Muted Gt.	uted Gt.	
029+	Muted Dis.Gt	1	3	28	Guitar	SC-88Pro	29	029+	Muted Dis.Gt	uted Dis.Gt	
029+	TC Muted Gt.	2	3	28	Guitar	SC-88Pro	29	029+	TC Muted Gt.	C Muted Gt.	
029+	Funk Pop	8	3	28	Guitar	SC-88Pro	29	029+	Funk Pop	unk Pop	
029+	Funk Gt.2	16	3	28	Guitar	SC-88Pro	29	029+	Funk Gt.2	unk Gt.2	
30	Overdrive Gt	0	3	29	Guitar	SC-88Pro	30	030	Overdrive Gt	verdrive Gt	
030+	Overdrive 2	1	3	29	Guitar	SC-88Pro	30	030+	Overdrive 2	verdrive 2	
030+	Overdrive 3	2	3	29	Guitar	SC-88Pro	30	030+	Overdrive 3	verdrive 3	
030+	More Drive	3	3	29	Guitar	SC-88Pro	30	030+	More Drive	ore Drive	
030+	LP OverDrvGt	8	3	29	Guitar	SC-88Pro	30	030+	LP OverDrvGt	P OverDrvGt	
030+	LP OverDrv:	9	3	29	Guitar	SC-88Pro	30	030+	LP OverDrv:	P OverDrv:	
31	DistortionGt	0	3	30	Guitar	SC-88Pro	31	031	DistortionGt	istortionGt	
031+	Dist. Gt2 :	1	3	30	Guitar	SC-88Pro	31	031+	Dist. Gt2 :	ist. Gt2 :	
031+	Dazed Guitar	2	3	30	Guitar	SC-88Pro	31	031+	Dazed Guitar	azed Guitar	
031+	Distortion:	3	3	30	Guitar	SC-88Pro	31	031+	Distortion:	istortion:	
031+	Dist.Fast :	4	3	30	Guitar	SC-88Pro	31	031+	Dist.Fast :	ist.Fast :	
031+	Feedback Gt.	8	3	30	Guitar	SC-88Pro	31	031+	Feedback Gt.	eedback Gt.	
031+	Feedback Gt2	9	3	30	Guitar	SC-88Pro	31	031+	Feedback Gt2	eedback Gt2	
031+	Power Guitar	16	3	30	Guitar	SC-88Pro	31	031+	Power Guitar	ower Guitar	
031+	Power Gt.2	17	3	30	Guitar	SC-88Pro	31	031+	Power Gt.2	ower Gt.2	
031+	5th Dist.	18	3	30	Guitar	SC-88Pro	31	031+	5th Dist.	th Dist.	
031+	Rock Rhythm	24	3	30	Guitar	SC-88Pro	31	031+	Rock Rhythm	ock Rhythm	
031+	Rock Rhythm2	25	3	30	Guitar	SC-88Pro	31	031+	Rock Rhythm2	ock Rhythm2	
32	Gt.Harmonics	0	3	31	Guitar	SC-88Pro	32	032	Gt.Harmonics	t.Harmonics	
032+	Gt. Feedback	8	3	31	Guitar	SC-88Pro	32	032+	Gt. Feedback	t. Feedback	
032+	Gt.Feedback2	9	3	31	Guitar	SC-88Pro	32	032+	Gt.Feedback2	t.Feedback2	
032+	Ac.Gt.Harmnx	16	3	31	Guitar	SC-88Pro	32	032+	Ac.Gt.Harmnx	c.Gt.Harmnx	
032+	E.Bass Harm.	24	3	31	Guitar	SC-88Pro	32	032+	E.Bass Harm.	.Bass Harm.	
25	$Nylonstr.Gt	0	2	24	Guitar	SC-88	25	025	'Nylonstr.Gt	Nylonstr.Gt	'
025+	$Ukulele	8	2	24	Guitar	SC-88	25	025+	'Ukulele	Ukulele	'
025+	$Nylon Gt.o	16	2	24	Guitar	SC-88	25	025+	'Nylon Gt.o	Nylon Gt.o	'
025+	$VeloHarmnix	24	2	24	Guitar	SC-88	25	025+	'VeloHarmnix	VeloHarmnix	'
025+	$Nylon Gt.2	32	2	24	Guitar	SC-88	25	025+	'Nylon Gt.2	Nylon Gt.2	'
025+	$Lequint Gt.	40	2	24	Guitar	SC-88	25	025+	'Lequint Gt.	Lequint Gt.	'
26	$Steelstr.Gt	0	2	25	Guitar	SC-88	26	026	'Steelstr.Gt	Steelstr.Gt	'
026+	$12-str.Gt	8	2	25	Guitar	SC-88	26	026+	'12-str.Gt	12-str.Gt	'
026+	$Nylon+Steel	9	2	25	Guitar	SC-88	26	026+	'Nylon+Steel	Nylon+Steel	'
026+	$Mandolin	16	2	25	Guitar	SC-88	26	026+	'Mandolin	Mandolin	'
026+	$Steel Gt.2	32	2	25	Guitar	SC-88	26	026+	'Steel Gt.2	Steel Gt.2	'
27	$Jazz Gt.	0	2	26	Guitar	SC-88	27	027	'Jazz Gt.	Jazz Gt.	'
027+	$Mellow Gt.	1	2	26	Guitar	SC-88	27	027+	'Mellow Gt.	Mellow Gt.	'
027+	$Pedal Steel	8	2	26	Guitar	SC-88	27	027+	'Pedal Steel	Pedal Steel	'
28	$Clean Gt.	0	2	27	Guitar	SC-88	28	028	'Clean Gt.	Clean Gt.	'
028+	$Chorus Gt.	8	2	27	Guitar	SC-88	28	028+	'Chorus Gt.	Chorus Gt.	'
29	$Muted Gt.	0	2	28	Guitar	SC-88	29	029	'Muted Gt.	Muted Gt.	'
029+	$MutedDis.Gt	1	2	28	Guitar	SC-88	29	029+	'MutedDis.Gt	MutedDis.Gt	'
029+	$Funk Pop	8	2	28	Guitar	SC-88	29	029+	'Funk Pop	Funk Pop	'
029+	$Funk Gt.2	16	2	28	Guitar	SC-88	29	029+	'Funk Gt.2	Funk Gt.2	'
30	$OverdriveGt	0	2	29	Guitar	SC-88	30	030	'OverdriveGt	OverdriveGt	'
31	$DistortionG	0	2	30	Guitar	SC-88	31	031	'DistortionG	DistortionG	'
031+	$Dist. Gt2	1	2	30	Guitar	SC-88	31	031+	'Dist. Gt2	Dist. Gt2	'
031+	$DazedGuitar	2	2	30	Guitar	SC-88	31	031+	'DazedGuitar	DazedGuitar	'
031+	$FeedbackGt.	8	2	30	Guitar	SC-88	31	031+	'FeedbackGt.	FeedbackGt.	'
031+	$FeedbackGt2	9	2	30	Guitar	SC-88	31	031+	'FeedbackGt2	FeedbackGt2	'
031+	$PowerGuitar	16	2	30	Guitar	SC-88	31	031+	'PowerGuitar	PowerGuitar	'
031+	$Power Gt.2	17	2	30	Guitar	SC-88	31	031+	'Power Gt.2	Power Gt.2	'
031+	$5th Dist.	18	2	30	Guitar	SC-88	31	031+	'5th Dist.	5th Dist.	'
031+	$Rock Rhythm	24	2	30	Guitar	SC-88	31	031+	'Rock Rhythm	Rock Rhythm	'
031+	$RockRhythm2	25	2	30	Guitar	SC-88	31	031+	'RockRhythm2	RockRhythm2	'
32	$Gt.Harmonix	0	2	31	Guitar	SC-88	32	032	'Gt.Harmonix	Gt.Harmonix	'
032+	$Gt.Feedback	8	2	31	Guitar	SC-88	32	032+	'Gt.Feedback	Gt.Feedback	'
032+	$Ac.Gt.Harm.	16	2	31	Guitar	SC-88	32	032+	'Ac.Gt.Harm.	Ac.Gt.Harm.	'
25	*Nylon Gt.	0	1	24	Guitar	SC-55	25	025	"Nylon Gt.	Nylon Gt.	"
025+	*Ukulele	8	1	24	Guitar	SC-55	25	025+	"Ukulele	Ukulele	"
025+	*Nylon Gt.o	16	1	24	Guitar	SC-55	25	025+	"Nylon Gt.o	Nylon Gt.o	"
025+	*Nylon Gt.2	32	1	24	Guitar	SC-55	25	025+	"Nylon Gt.2	Nylon Gt.2	"
26	*Steel Gt.	0	1	25	Guitar	SC-55	26	026	"Steel Gt.	Steel Gt.	"
026+	*12-str.Gt	8	1	25	Guitar	SC-55	26	026+	"12-str.Gt	12-str.Gt	"
026+	*Mandolin	16	1	25	Guitar	SC-55	26	026+	"Mandolin	Mandolin	"
27	*Jazz Gt.	0	1	26	Guitar	SC-55	27	027	"Jazz Gt.	Jazz Gt.	"
027+	*Hawaiian Gt	8	1	26	Guitar	SC-55	27	027+	"Hawaiian Gt	Hawaiian Gt	"
28	*Clean Gt.	0	1	27	Guitar	SC-55	28	028	"Clean Gt.	Clean Gt.	"
028+	*Chorus Gt.	8	1	27	Guitar	SC-55	28	028+	"Chorus Gt.	Chorus Gt.	"
29	*Muted Gt.	0	1	28	Guitar	SC-55	29	029	"Muted Gt.	Muted Gt.	"
029+	*Funk Gt.	8	1	28	Guitar	SC-55	29	029+	"Funk Gt.	Funk Gt.	"
029+	*Funk Gt.2	16	1	28	Guitar	SC-55	29	029+	"Funk Gt.2	Funk Gt.2	"
30	*OverdriveGt	0	1	29	Guitar	SC-55	30	030	"OverdriveGt	OverdriveGt	"
31	*Dist.Gt.	0	1	30	Guitar	SC-55	31	031	"Dist.Gt.	Dist.Gt.	"
031+	*Feedback Gt.	8	1	30	Guitar	SC-55	31	031+	"Feedback Gt.	Feedback Gt.	"
32	*Gt.Harmonix	0	1	31	Guitar	SC-55	32	032	"Gt.Harmonix	Gt.Harmonix	"
032+	*Gt.Feedback	8	1	31	Guitar	SC-55	32	032+	"Gt.Feedback	Gt.Feedback	"
11	#Steel Gt.	126	1	10	Guitar	CM-64	11	011	#"Steel Gt.	Steel Gt.	#"
12	#Steel Gt.	126	1	11	Guitar	CM-64	12	012	#"Steel Gt.	Steel Gt.	#"
13	#12-str.Gt	126	1	12	Guitar	CM-64	13	013	#"12-str.Gt	12-str.Gt	#"
14	#Funk Gt.	126	1	13	Guitar	CM-64	14	014	#"Funk Gt.	Funk Gt.	#"
15	#Muted Gt.	126	1	14	Guitar	CM-64	15	015	#"Muted Gt.	Muted Gt.	#"
60	#Guitar 1	127	1	59	Guitar	CM-64	60	060	#"Guitar 1	Guitar 1	#"
61	#Guitar 2	127	1	60	Guitar	CM-64	61	061	#"Guitar 2	Guitar 2	#"
62	#Elec Gtr 1	127	1	61	Guitar	CM-64	62	062	#"Elec Gtr 1	Elec Gtr 1	#"
63	#Elec Gtr 2	127	1	62	Guitar	CM-64	63	063	#"Elec Gtr 2	Elec Gtr 2	#"
33	Acoustic Bs.	0	3	32	Bass	SC-88Pro	33	033	Acoustic Bs.	coustic Bs.	
033+	Rockabilly	1	3	32	Bass	SC-88Pro	33	033+	Rockabilly	ockabilly	
033+	Wild A.Bass	8	3	32	Bass	SC-88Pro	33	033+	Wild A.Bass	ild A.Bass	
033+	Bass + OHH	16	3	32	Bass	SC-88Pro	33	033+	Bass + OHH	ass + OHH	
34	Fingered Bs.	0	3	33	Bass	SC-88Pro	34	034	Fingered Bs.	ingered Bs.	
034+	Fingered Bs2	1	3	33	Bass	SC-88Pro	34	034+	Fingered Bs2	ingered Bs2	
034+	Jazz Bass	2	3	33	Bass	SC-88Pro	34	034+	Jazz Bass	azz Bass	
034+	Jazz Bass 2	3	3	33	Bass	SC-88Pro	34	034+	Jazz Bass 2	azz Bass 2	
034+	Rock Bass	4	3	33	Bass	SC-88Pro	34	034+	Rock Bass	ock Bass	
034+	ChorusJazzBs	8	3	33	Bass	SC-88Pro	34	034+	ChorusJazzBs	horusJazzBs	
034+	F.Bass/Harm.	16	3	33	Bass	SC-88Pro	34	034+	F.Bass/Harm.	.Bass/Harm.	
35	Picked Bass	0	3	34	Bass	SC-88Pro	35	035	Picked Bass	icked Bass	
035+	Picked Bass2	1	3	34	Bass	SC-88Pro	35	035+	Picked Bass2	icked Bass2	
035+	Picked Bass3	2	3	34	Bass	SC-88Pro	35	035+	Picked Bass3	icked Bass3	
035+	Picked Bass4	3	3	34	Bass	SC-88Pro	35	035+	Picked Bass4	icked Bass4	
035+	Mute PickBs	8	3	34	Bass	SC-88Pro	35	035+	Mute PickBs	ute PickBs	
035+	P.Bass/Harm.	16	3	34	Bass	SC-88Pro	35	035+	P.Bass/Harm.	.Bass/Harm.	
36	Fretless Bs.	0	3	35	Bass	SC-88Pro	36	036	Fretless Bs.	retless Bs.	
036+	Fretless Bs2	1	3	35	Bass	SC-88Pro	36	036+	Fretless Bs2	retless Bs2	
036+	Fretless Bs3	2	3	35	Bass	SC-88Pro	36	036+	Fretless Bs3	retless Bs3	
036+	Fretless Bs4	3	3	35	Bass	SC-88Pro	36	036+	Fretless Bs4	retless Bs4	
036+	Syn Fretless	4	3	35	Bass	SC-88Pro	36	036+	Syn Fretless	yn Fretless	
036+	Mr.Smooth	5	3	35	Bass	SC-88Pro	36	036+	Mr.Smooth	r.Smooth	
036+	Wood+FlessBs	8	3	35	Bass	SC-88Pro	36	036+	Wood+FlessBs	ood+FlessBs	
37	Slap Bass 1	0	3	36	Bass	SC-88Pro	37	037	Slap Bass 1	lap Bass 1	
037+	Slap Pop	1	3	36	Bass	SC-88Pro	37	037+	Slap Pop	lap Pop	
037+	Reso Slap	8	3	36	Bass	SC-88Pro	37	037+	Reso Slap	eso Slap	
037+	Unison Slap	9	3	36	Bass	SC-88Pro	37	037+	Unison Slap	nison Slap	
38	Slap Bass 2	0	3	37	Bass	SC-88Pro	38	038	Slap Bass 2	lap Bass 2	
038+	FM Slap	8	3	37	Bass	SC-88Pro	38	038+	FM Slap	M Slap	
39	Synth Bass 1	0	3	38	Bass	SC-88Pro	39	039	Synth Bass 1	ynth Bass 1	
039+	SynthBass101	1	3	38	Bass	SC-88Pro	39	039+	SynthBass101	ynthBass101	
039+	CS Bass	2	3	38	Bass	SC-88Pro	39	039+	CS Bass	S Bass	
039+	JP-4 Bass	3	3	38	Bass	SC-88Pro	39	039+	JP-4 Bass	P-4 Bass	
039+	JP-8 Bass	4	3	38	Bass	SC-88Pro	39	039+	JP-8 Bass	P-8 Bass	
039+	P5 Bass	5	3	38	Bass	SC-88Pro	39	039+	P5 Bass	5 Bass	
039+	JPMG Bass	6	3	38	Bass	SC-88Pro	39	039+	JPMG Bass	PMG Bass	
039+	Acid Bass	8	3	38	Bass	SC-88Pro	39	039+	Acid Bass	cid Bass	
039+	TB303 Bass	9	3	38	Bass	SC-88Pro	39	039+	TB303 Bass	B303 Bass	
039+	Tekno Bass	10	3	38	Bass	SC-88Pro	39	039+	Tekno Bass	ekno Bass	
039+	TB303 Bass 2	11	3	38	Bass	SC-88Pro	39	039+	TB303 Bass 2	B303 Bass 2	
039+	Kicked TB303	12	3	38	Bass	SC-88Pro	39	039+	Kicked TB303	icked TB303	
039+	TB303 Saw Bs	13	3	38	Bass	SC-88Pro	39	039+	TB303 Saw Bs	B303 Saw Bs	
039+	Rubber303 Bs	14	3	38	Bass	SC-88Pro	39	039+	Rubber303 Bs	ubber303 Bs	
039+	Reso 303 Bs	15	3	38	Bass	SC-88Pro	39	039+	Reso 303 Bs	eso 303 Bs	
039+	Reso SH Bass	16	3	38	Bass	SC-88Pro	39	039+	Reso SH Bass	eso SH Bass	
039+	TB303 Sqr Bs	17	3	38	Bass	SC-88Pro	39	039+	TB303 Sqr Bs	B303 Sqr Bs	
039+	TB303 DistBs	18	3	38	Bass	SC-88Pro	39	039+	TB303 DistBs	B303 DistBs	
039+	Arpeggio Bs	24	3	38	Bass	SC-88Pro	39	039+	Arpeggio Bs	rpeggio Bs	
40	Synth Bass 2	0	3	39	Bass	SC-88Pro	40	040	Synth Bass 2	ynth Bass 2	
040+	SynthBass201	1	3	39	Bass	SC-88Pro	40	040+	SynthBass201	ynthBass201	
040+	Modular Bass	2	3	39	Bass	SC-88Pro	40	040+	Modular Bass	odular Bass	
040+	Seq Bass	3	3	39	Bass	SC-88Pro	40	040+	Seq Bass	eq Bass	
040+	MG Bass	4	3	39	Bass	SC-88Pro	40	040+	MG Bass	G Bass	
040+	Mg Oct Bass1	5	3	39	Bass	SC-88Pro	40	040+	Mg Oct Bass1	g Oct Bass1	
040+	MG Oct Bass2	6	3	39	Bass	SC-88Pro	40	040+	MG Oct Bass2	G Oct Bass2	
040+	MG Blip Bs:	7	3	39	Bass	SC-88Pro	40	040+	MG Blip Bs:	G Blip Bs:	
040+	Beef FM Bass	8	3	39	Bass	SC-88Pro	40	040+	Beef FM Bass	eef FM Bass	
040+	Dly Bass	9	3	39	Bass	SC-88Pro	40	040+	Dly Bass	ly Bass	
040+	X Wire Bass	10	3	39	Bass	SC-88Pro	40	040+	X Wire Bass	 Wire Bass	
040+	WireStr Bass	11	3	39	Bass	SC-88Pro	40	040+	WireStr Bass	ireStr Bass	
040+	Blip Bass :	12	3	39	Bass	SC-88Pro	40	040+	Blip Bass :	lip Bass :	
040+	RubberBass 1	13	3	39	Bass	SC-88Pro	40	040+	RubberBass 1	ubberBass 1	
040+	RubberBass 2	16	3	39	Bass	SC-88Pro	40	040+	RubberBass 2	ubberBass 2	
040+	SH101 Bass 1	17	3	39	Bass	SC-88Pro	40	040+	SH101 Bass 1	H101 Bass 1	
040+	SH101 Bass 2	18	3	39	Bass	SC-88Pro	40	040+	SH101 Bass 2	H101 Bass 2	
040+	Smooth Bass	19	3	39	Bass	SC-88Pro	40	040+	Smooth Bass	mooth Bass	
040+	SH101 Bass 3	20	3	39	Bass	SC-88Pro	40	040+	SH101 Bass 3	H101 Bass 3	
040+	Spike Bass	21	3	39	Bass	SC-88Pro	40	040+	Spike Bass	pike Bass	
040+	House Bass:	22	3	39	Bass	SC-88Pro	40	040+	House Bass:	ouse Bass:	
040+	KG Bass	23	3	39	Bass	SC-88Pro	40	040+	KG Bass	G Bass	
040+	Sync Bass	24	3	39	Bass	SC-88Pro	40	040+	Sync Bass	ync Bass	
040+	MG 5th Bass	25	3	39	Bass	SC-88Pro	40	040+	MG 5th Bass	G 5th Bass	
040+	RND Bass	26	3	39	Bass	SC-88Pro	40	040+	RND Bass	ND Bass	
040+	WowMG Bass	27	3	39	Bass	SC-88Pro	40	040+	WowMG Bass	owMG Bass	
040+	Bubble Bass	28	3	39	Bass	SC-88Pro	40	040+	Bubble Bass	ubble Bass	
33	$AcousticBs.	0	2	32	Bass	SC-88	33	033	'AcousticBs.	AcousticBs.	'
34	$FingeredBs.	0	2	33	Bass	SC-88	34	034	'FingeredBs.	FingeredBs.	'
034+	$FingeredBs2	1	2	33	Bass	SC-88	34	034+	'FingeredBs2	FingeredBs2	'
034+	$Jazz Bass	2	2	33	Bass	SC-88	34	034+	'Jazz Bass	Jazz Bass	'
35	$Picked Bass	0	2	34	Bass	SC-88	35	035	'Picked Bass	Picked Bass	'
035+	$MutePickBs.	8	2	34	Bass	SC-88	35	035+	'MutePickBs.	MutePickBs.	'
36	$FretlessBs.	0	2	35	Bass	SC-88	36	036	'FretlessBs.	FretlessBs.	'
036+	$FretlessBs2	1	2	35	Bass	SC-88	36	036+	'FretlessBs2	FretlessBs2	'
036+	$FretlessBs3	2	2	35	Bass	SC-88	36	036+	'FretlessBs3	FretlessBs3	'
036+	$FretlessBs4	3	2	35	Bass	SC-88	36	036+	'FretlessBs4	FretlessBs4	'
036+	$SynFretless	4	2	35	Bass	SC-88	36	036+	'SynFretless	SynFretless	'
036+	$Mr.Smooth	5	2	35	Bass	SC-88	36	036+	'Mr.Smooth	Mr.Smooth	'
37	$Slap Bass 1	0	2	36	Bass	SC-88	37	037	'Slap Bass 1	Slap Bass 1	'
037+	$Reso Slap	8	2	36	Bass	SC-88	37	037+	'Reso Slap	Reso Slap	'
38	$Slap Bass 2	0	2	37	Bass	SC-88	38	038	'Slap Bass 2	Slap Bass 2	'
39	$SynthBass 1	0	2	38	Bass	SC-88	39	039	'SynthBass 1	SynthBass 1	'
039+	$Syn.Bass101	1	2	38	Bass	SC-88	39	039+	'Syn.Bass101	Syn.Bass101	'
039+	$Acid Bass	8	2	38	Bass	SC-88	39	039+	'Acid Bass	Acid Bass	'
039+	$TB303 Bass	9	2	38	Bass	SC-88	39	039+	'TB303 Bass	TB303 Bass	'
039+	$Tekno Bass	10	2	38	Bass	SC-88	39	039+	'Tekno Bass	Tekno Bass	'
039+	$Reso SHBass	16	2	38	Bass	SC-88	39	039+	'Reso SHBass	Reso SHBass	'
40	$SynthBass 2	0	2	39	Bass	SC-88	40	040	'SynthBass 2	SynthBass 2	'
040+	$Syn.Bass201	1	2	39	Bass	SC-88	40	040+	'Syn.Bass201	Syn.Bass201	'
040+	$ModularBass	2	2	39	Bass	SC-88	40	040+	'ModularBass	ModularBass	'
040+	$Seq Bass	3	2	39	Bass	SC-88	40	040+	'Seq Bass	Seq Bass	'
040+	$Beef FMBass	8	2	39	Bass	SC-88	40	040+	'Beef FMBass	Beef FMBass	'
040+	$X Wire Bass	9	2	39	Bass	SC-88	40	040+	'X Wire Bass	X Wire Bass	'
040+	$Rubber Bass	16	2	39	Bass	SC-88	40	040+	'Rubber Bass	Rubber Bass	'
040+	$SH101Bass 1	17	2	39	Bass	SC-88	40	040+	'SH101Bass 1	SH101Bass 1	'
040+	$SH101Bass 2	18	2	39	Bass	SC-88	40	040+	'SH101Bass 2	SH101Bass 2	'
040+	$Smooth Bass	19	2	39	Bass	SC-88	40	040+	'Smooth Bass	Smooth Bass	'
33	*Acoustic Bs	0	1	32	Bass	SC-55	33	033	"Acoustic Bs	Acoustic Bs	"
34	*Fingered Bs	0	1	33	Bass	SC-55	34	034	"Fingered Bs	Fingered Bs	"
35	*Picked Bass	0	1	34	Bass	SC-55	35	035	"Picked Bass	Picked Bass	"
36	*Fretless Bs	0	1	35	Bass	SC-55	36	036	"Fretless Bs	Fretless Bs	"
37	*Slap Bass 1	0	1	36	Bass	SC-55	37	037	"Slap Bass 1	Slap Bass 1	"
38	*Slap Bass 2	0	1	37	Bass	SC-55	38	038	"Slap Bass 2	Slap Bass 2	"
39	*Syn.Bass 1	0	1	38	Bass	SC-55	39	039	"Syn.Bass 1	Syn.Bass 1	"
039+	*Syn.Bass101	1	1	38	Bass	SC-55	39	039+	"Syn.Bass101	Syn.Bass101	"
039+	*Syn.Bass 3	8	1	38	Bass	SC-55	39	039+	"Syn.Bass 3	Syn.Bass 3	"
40	*Syn.Bass 2	0	1	39	Bass	SC-55	40	040	"Syn.Bass 2	Syn.Bass 2	"
040+	*Syn.Bass 4	8	1	39	Bass	SC-55	40	040+	"Syn.Bass 4	Syn.Bass 4	"
040+	*Rubber Bass	16	1	39	Bass	SC-55	40	040+	"Rubber Bass	Rubber Bass	"
16	#Slap Bass 1	126	1	15	Bass	CM-64	16	016	#"Slap Bass 1	Slap Bass 1	#"
17	#Slap Bass 1	126	1	16	Bass	CM-64	17	017	#"Slap Bass 1	Slap Bass 1	#"
18	#Slap Bass 1	126	1	17	Bass	CM-64	18	018	#"Slap Bass 1	Slap Bass 1	#"
19	#Slap Bass 1	126	1	18	Bass	CM-64	19	019	#"Slap Bass 1	Slap Bass 1	#"
20	#Slap Bass 2	126	1	19	Bass	CM-64	20	020	#"Slap Bass 2	Slap Bass 2	#"
21	#Slap Bass 2	126	1	20	Bass	CM-64	21	021	#"Slap Bass 2	Slap Bass 2	#"
22	#Slap Bass 2	126	1	21	Bass	CM-64	22	022	#"Slap Bass 2	Slap Bass 2	#"
23	#Slap Bass 2	126	1	22	Bass	CM-64	23	023	#"Slap Bass 2	Slap Bass 2	#"
24	#Fingered Bs	126	1	23	Bass	CM-64	24	024	#"Fingered Bs	Fingered Bs	#"
25	#Fingered Bs	126	1	24	Bass	CM-64	25	025	#"Fingered Bs	Fingered Bs	#"
26	#Picked Bass	126	1	25	Bass	CM-64	26	026	#"Picked Bass	Picked Bass	#"
27	#Picked Bass	126	1	26	Bass	CM-64	27	027	#"Picked Bass	Picked Bass	#"
28	#Fretless Bs	126	1	27	Bass	CM-64	28	028	#"Fretless Bs	Fretless Bs	#"
29	#Acoustic Bs	126	1	28	Bass	CM-64	29	029	#"Acoustic Bs	Acoustic Bs	#"
29	#Syn Bass 1	127	1	28	Bass	CM-64	29	029	#"Syn Bass 1	Syn Bass 1	#"
30	#Syn Bass 2	127	1	29	Bass	CM-64	30	030	#"Syn Bass 2	Syn Bass 2	#"
31	#Syn Bass 3	127	1	30	Bass	CM-64	31	031	#"Syn Bass 3	Syn Bass 3	#"
32	#Syn Bass 4	127	1	31	Bass	CM-64	32	032	#"Syn Bass 4	Syn Bass 4	#"
65	#Acou Bass 1	127	1	64	Bass	CM-64	65	065	#"Acou Bass 1	Acou Bass 1	#"
66	#Acou Bass 2	127	1	65	Bass	CM-64	66	066	#"Acou Bass 2	Acou Bass 2	#"
67	#Elec Bass 1	127	1	66	Bass	CM-64	67	067	#"Elec Bass 1	Elec Bass 1	#"
68	#Elec Bass 2	127	1	67	Bass	CM-64	68	068	#"Elec Bass 2	Elec Bass 2	#"
69	#Slap Bass 1	127	1	68	Bass	CM-64	69	069	#"Slap Bass 1	Slap Bass 1	#"
70	#Slap Bass 2	127	1	69	Bass	CM-64	70	070	#"Slap Bass 2	Slap Bass 2	#"
71	#Fretless 1	127	1	70	Bass	CM-64	71	071	#"Fretless 1	Fretless 1	#"
72	#Fretless 2	127	1	71	Bass	CM-64	72	072	#"Fretless 2	Fretless 2	#"
