No._Base	ToneName_freemidi	MSB	LSB	PC_0Origin	Category	Bank	PC	No.	ToneName	remove_left1	head_suff
007+	$Harpsi.o	24	2	6	Piano	SC-88	7	007+	'Harpsi.o	Harpsi.o	'
8	$Clav.	0	2	7	Piano	SC-88	8	008	'Clav.	Clav.	'
1	*Piano 1	0	1	0	Piano	SC-55	1	001	"Piano 1	Piano 1	"
001+	*Piano 1w	8	1	0	Piano	SC-55	1	001+	"Piano 1w	Piano 1w	"
001+	*Piano 1d	16	1	0	Piano	SC-55	1	001+	"Piano 1d	Piano 1d	"
2	*Piano 2	0	1	1	Piano	SC-55	2	002	"Piano 2	Piano 2	"
002+	*Piano 2w	8	1	1	Piano	SC-55	2	002+	"Piano 2w	Piano 2w	"
3	*Piano 3	0	1	2	Piano	SC-55	3	003	"Piano 3	Piano 3	"
003+	*Piano 3w	8	1	2	Piano	SC-55	3	003+	"Piano 3w	Piano 3w	"
4	*Honky-tonk	0	1	3	Piano	SC-55	4	004	"Honky-tonk	Honky-tonk	"
004+	*HonkyTonk w	8	1	3	Piano	SC-55	4	004+	"HonkyTonk w	HonkyTonk w	"
5	*E.Piano 1	0	1	4	Piano	SC-55	5	005	"E.Piano 1	E.Piano 1	"
005+	*Detuned EP1	8	1	4	Piano	SC-55	5	005+	"Detuned EP1	Detuned EP1	"
005+	*E.Piano 1v	16	1	4	Piano	SC-55	5	005+	"E.Piano 1v	E.Piano 1v	"
005+	*60s E.Piano	24	1	4	Piano	SC-55	5	005+	"60s E.Piano	60s E.Piano	"
6	*E.Piano 2	0	1	5	Piano	SC-55	6	006	"E.Piano 2	E.Piano 2	"
006+	*Detuned EP2	8	1	5	Piano	SC-55	6	006+	"Detuned EP2	Detuned EP2	"
006+	*E.Piano 2v	16	1	5	Piano	SC-55	6	006+	"E.Piano 2v	E.Piano 2v	"
7	*Harpsichord	0	1	6	Piano	SC-55	7	007	"Harpsichord	Harpsichord	"
007+	*Coupled Hps	8	1	6	Piano	SC-55	7	007+	"Coupled Hps	Coupled Hps	"
007+	*Harpsi.w	16	1	6	Piano	SC-55	7	007+	"Harpsi.w	Harpsi.w	"
007+	*Harpsi.o	24	1	6	Piano	SC-55	7	007+	"Harpsi.o	Harpsi.o	"
8	*Clav.	0	1	7	Piano	SC-55	8	008	"Clav.	Clav.	"
1	#Piano 2	126	1	0	Piano	CM-64	1	001	#"Piano 2	Piano 2	#"
2	#Piano 2	126	1	1	Piano	CM-64	2	002	#"Piano 2	Piano 2	#"
3	#Piano 2	126	1	2	Piano	CM-64	3	003	#"Piano 2	Piano 2	#"
4	#Honky-tonk	126	1	3	Piano	CM-64	4	004	#"Honky-tonk	Honky-tonk	#"
5	#Piano 1	126	1	4	Piano	CM-64	5	005	#"Piano 1	Piano 1	#"
6	#Piano 2	126	1	5	Piano	CM-64	6	006	#"Piano 2	Piano 2	#"
7	#Piano 2	126	1	6	Piano	CM-64	7	007	#"Piano 2	Piano 2	#"
8	#E.Piano 1	126	1	7	Piano	CM-64	8	008	#"E.Piano 1	E.Piano 1	#"
9	#Detuned EP1	126	1	8	Piano	CM-64	9	009	#"Detuned EP1	Detuned EP1	#"
10	#E.Piano 2	126	1	9	Piano	CM-64	10	010	#"E.Piano 2	E.Piano 2	#"
1	#Acou Piano1	127	1	0	Piano	CM-64	1	001	#"Acou Piano1	Acou Piano1	#"
2	#Acou Piano2	127	1	1	Piano	CM-64	2	002	#"Acou Piano2	Acou Piano2	#"
3	#Acou Piano3	127	1	2	Piano	CM-64	3	003	#"Acou Piano3	Acou Piano3	#"
4	#Elec Piano1	127	1	3	Piano	CM-64	4	004	#"Elec Piano1	Elec Piano1	#"
5	#Elec Piano2	127	1	4	Piano	CM-64	5	005	#"Elec Piano2	Elec Piano2	#"
6	#Elec Piano3	127	1	5	Piano	CM-64	6	006	#"Elec Piano3	Elec Piano3	#"
7	#Elec Piano4	127	1	6	Piano	CM-64	7	007	#"Elec Piano4	Elec Piano4	#"
8	#Honkytonk	127	1	7	Piano	CM-64	8	008	#"Honkytonk	Honkytonk	#"
17	#Harpsi 1	127	1	16	Piano	CM-64	17	017	#"Harpsi 1	Harpsi 1	#"
18	#Harpsi 2	127	1	17	Piano	CM-64	18	018	#"Harpsi 2	Harpsi 2	#"
19	#Harpsi 3	127	1	18	Piano	CM-64	19	019	#"Harpsi 3	Harpsi 3	#"
20	#Clavi 1	127	1	19	Piano	CM-64	20	020	#"Clavi 1	Clavi 1	#"
21	#Clavi 2	127	1	20	Piano	CM-64	21	021	#"Clavi 2	Clavi 2	#"
22	#Clavi 3	127	1	21	Piano	CM-64	22	022	#"Clavi 3	Clavi 3	#"
9	Celesta	0	3	8	Chromatic Percussion	SC-88Pro	9	009	Celesta	elesta	
009+	Pop Celesta	1	3	8	Chromatic Percussion	SC-88Pro	9	009+	Pop Celesta	op Celesta	
10	Glockenspiel	0	3	9	Chromatic Percussion	SC-88Pro	10	010	Glockenspiel	lockenspiel	
11	Music Box	0	3	10	Chromatic Percussion	SC-88Pro	11	011	Music Box	usic Box	
12	Vibraphone	0	3	11	Chromatic Percussion	SC-88Pro	12	012	Vibraphone	ibraphone	
012+	Pop Vibe.	1	3	11	Chromatic Percussion	SC-88Pro	12	012+	Pop Vibe.	op Vibe.	
012+	Vibraphone w	8	3	11	Chromatic Percussion	SC-88Pro	12	012+	Vibraphone w	ibraphone w	
012+	Vibraphones	9	3	11	Chromatic Percussion	SC-88Pro	12	012+	Vibraphones	ibraphones	
13	Marimba	0	3	12	Chromatic Percussion	SC-88Pro	13	013	Marimba	arimba	
013+	Marimba w	8	3	12	Chromatic Percussion	SC-88Pro	13	013+	Marimba w	arimba w	
013+	Barafon	16	3	12	Chromatic Percussion	SC-88Pro	13	013+	Barafon	arafon	
013+	Barafon 2	17	3	12	Chromatic Percussion	SC-88Pro	13	013+	Barafon 2	arafon 2	
013+	Log drum	24	3	12	Chromatic Percussion	SC-88Pro	13	013+	Log drum	og drum	
14	Xylophone	0	3	13	Chromatic Percussion	SC-88Pro	14	014	Xylophone	ylophone	
15	Tubular-bell	0	3	14	Chromatic Percussion	SC-88Pro	15	015	Tubular-bell	ubular-bell	
015+	Church Bell	8	3	14	Chromatic Percussion	SC-88Pro	15	015+	Church Bell	hurch Bell	
015+	Carillon	9	3	14	Chromatic Percussion	SC-88Pro	15	015+	Carillon	arillon	
16	Santur	0	3	15	Chromatic Percussion	SC-88Pro	16	016	Santur	antur	
016+	Santur 2	1	3	15	Chromatic Percussion	SC-88Pro	16	016+	Santur 2	antur 2	
016+	Cimbalom	8	3	15	Chromatic Percussion	SC-88Pro	16	016+	Cimbalom	imbalom	
016+	Zither 1	16	3	15	Chromatic Percussion	SC-88Pro	16	016+	Zither 1	ither 1	
016+	Zither 2	17	3	15	Chromatic Percussion	SC-88Pro	16	016+	Zither 2	ither 2	
016+	Dulcimer	24	3	15	Chromatic Percussion	SC-88Pro	16	016+	Dulcimer	ulcimer	
9	$Celesta	0	2	8	Chromatic Percussion	SC-88	9	009	'Celesta	Celesta	'
10	$Glocknspiel	0	2	9	Chromatic Percussion	SC-88	10	010	'Glocknspiel	Glocknspiel	'
11	$Music Box	0	2	10	Chromatic Percussion	SC-88	11	011	'Music Box	Music Box	'
12	$Vibraphone	0	2	11	Chromatic Percussion	SC-88	12	012	'Vibraphone	Vibraphone	'
012+	$Hard Vibe	1	2	11	Chromatic Percussion	SC-88	12	012+	'Hard Vibe	Hard Vibe	'
012+	$Vib.w	8	2	11	Chromatic Percussion	SC-88	12	012+	'Vib.w	Vib.w	'
13	$Marimba	0	2	12	Chromatic Percussion	SC-88	13	013	'Marimba	Marimba	'
013+	$Marimba w	8	2	12	Chromatic Percussion	SC-88	13	013+	'Marimba w	Marimba w	'
013+	$Barafon	16	2	12	Chromatic Percussion	SC-88	13	013+	'Barafon	Barafon	'
013+	$Barafon 2	17	2	12	Chromatic Percussion	SC-88	13	013+	'Barafon 2	Barafon 2	'
013+	$Log drum	24	2	12	Chromatic Percussion	SC-88	13	013+	'Log drum	Log drum	'
14	$Xylophone	0	2	13	Chromatic Percussion	SC-88	14	014	'Xylophone	Xylophone	'
15	$Tubularbell	0	2	14	Chromatic Percussion	SC-88	15	015	'Tubularbell	Tubularbell	'
015+	$Church Bell	8	2	14	Chromatic Percussion	SC-88	15	015+	'Church Bell	Church Bell	'
015+	$Carillon	9	2	14	Chromatic Percussion	SC-88	15	015+	'Carillon	Carillon	'
16	$Santur	0	2	15	Chromatic Percussion	SC-88	16	016	'Santur	Santur	'
16	$Santur 2	1	2	15	Chromatic Percussion	SC-88	16	016	'Santur 2	Santur 2	'
16	$Cimbalon	8	2	15	Chromatic Percussion	SC-88	16	016	'Cimbalon	Cimbalon	'
9	*Celesta	0	1	8	Chromatic Percussion	SC-55	9	009	"Celesta	Celesta	"
10	*Glockenspl	0	1	9	Chromatic Percussion	SC-55	10	010	"Glockenspl	Glockenspl	"
11	*Music Box	0	1	10	Chromatic Percussion	SC-55	11	011	"Music Box	Music Box	"
12	*Vibraphone	0	1	11	Chromatic Percussion	SC-55	12	012	"Vibraphone	Vibraphone	"
012+	*Vib.w	8	1	11	Chromatic Percussion	SC-55	12	012+	"Vib.w	Vib.w	"
13	*Marimba	0	1	12	Chromatic Percussion	SC-55	13	013	"Marimba	Marimba	"
013+	*Marimba w	8	1	12	Chromatic Percussion	SC-55	13	013+	"Marimba w	Marimba w	"
14	*Xylophone	0	1	13	Chromatic Percussion	SC-55	14	014	"Xylophone	Xylophone	"
15	*Tubularbell	0	1	14	Chromatic Percussion	SC-55	15	015	"Tubularbell	Tubularbell	"
015+	*Church Bell	8	1	14	Chromatic Percussion	SC-55	15	015+	"Church Bell	Church Bell	"
015+	*Carillon	9	1	14	Chromatic Percussion	SC-55	15	015+	"Carillon	Carillon	"
16	*Santur	0	1	15	Chromatic Percussion	SC-55	16	016	"Santur	Santur	"
23	#Celesta 1	127	1	22	Chromatic Percussion	CM-64	23	023	#"Celesta 1	Celesta 1	#"
24	#Celesta 2	127	1	23	Chromatic Percussion	CM-64	24	024	#"Celesta 2	Celesta 2	#"
98	#Vibe 1	127	1	97	Chromatic Percussion	CM-64	98	098	#"Vibe 1	Vibe 1	#"
99	#Vibe 2	127	1	98	Chromatic Percussion	CM-64	99	099	#"Vibe 2	Vibe 2	#"
102	#Glock	127	1	101	Chromatic Percussion	CM-64	102	102	#"Glock	Glock	#"
103	#Tube Bell	127	1	102	Chromatic Percussion	CM-64	103	103	#"Tube Bell	Tube Bell	#"
104	#Xylophone	127	1	103	Chromatic Percussion	CM-64	104	104	#"Xylophone	Xylophone	#"
